Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2012-08-01,59
2012-08-02,37
2012-08-03,60
2012-08-04,53
2012-08-05,23
2012-08-06,38
2012-08-07,56
2012-08-08,57
2012-08-09,54
2012-08-10,41
2012-08-11,35
2012-08-12,49
2012-08-13,52
2012-08-14,82
2012-08-15,71
2012-08-16,82
2012-08-17,60
2012-08-18,61
2012-08-19,90
2012-08-20,66
2012-08-21,100
2012-08-22,83
2012-08-23,74
2012-08-24,82
2012-08-25,53
2012-08-26,45
2012-08-27,52
2012-08-28,78
2012-08-29,91
2012-08-30,68
2012-08-31,45
2012-09-01,53
