Categoría: Todas las categorías

Mes,Bitcoin: (Estados Unidos)
2010-08,0
2010-09,2
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,1
2011-03,0
2011-04,1
2011-05,1
2011-06,13
2011-07,3
2011-08,4
2011-09,2
2011-10,2
2011-11,1
2011-12,2
2012-01,2
2012-02,0
2012-03,2
2012-04,3
2012-05,1
2012-06,1
2012-07,2
2012-08,2
2012-09,3
2012-10,1
2012-11,1
2012-12,1
2013-01,2
2013-02,3
2013-03,9
2013-04,28
2013-05,12
2013-06,7
2013-07,7
2013-08,5
2013-09,4
2013-10,10
2013-11,42
2013-12,74
2014-01,59
2014-02,92
2014-03,100
2014-04,24
2014-05,16
2014-06,15
2014-07,17
2014-08,13
2014-09,13
2014-10,10
2014-11,8
2014-12,12
2015-01,14
2015-02,8
2015-03,9
2015-04,8
2015-05,7
2015-06,10
2015-07,10
2015-08,8
2015-09,9
2015-10,9
2015-11,9
2015-12,13
2016-01,11
2016-02,11
2016-03,12
2016-04,5
2016-05,22
2016-06,14
2016-07,13
2016-08,16
2016-09,12
2016-10,12
2016-11,16
2016-12,15
2017-01,23
2017-02,20
2017-03,25
2017-04,14
2017-05,36
2017-06,36
2017-07,35
